Player ID,Player,Pos,Squad,SCA90,GCA90
44ac04e9,Matías Vecino,MF,it Lazio,0.77,0.0
18fae4ac,Joey Veerman,MF,nl PSV Eindhoven,4.91,0.18
e8ef59da,Yorbe Vertessen,FW,nl PSV Eindhoven,3.35,0.56
6412cc03,Fabio Vieira,FW,eng Arsenal,4.04,0.0
3b029691,Vitinha,MF,fr Paris S-G,3.9,0.49
d0d8dd44,Stefan de Vrij,DF,it Inter,0.96,0.0
86dd77d1,Kyle Walker,DF,eng Manchester City,2.35,0.0
f9acca3a,Wendell,DF,pt Porto,1.01,0.0
49fe9070,Timo Werner,"FW,MF",de RB Leipzig,0.0,0.0
35e413f1,Ben White,DF,eng Arsenal,1.98,0.2
5dfc6ad5,Axel Witsel,"DF,MF",es Atlético Madrid,0.61,0.15
fa661778,Marius Wolf,"DF,FW",de Dortmund,1.91,0.0
b6db05c3,Jacob Wright,FW,eng Manchester City,30.0,0.0
82ec26c1,Lamine Yamal,FW,es Barcelona,4.58,0.23
d85c238b,Mattia Zaccagni,FW,it Lazio,3.13,0.0
6b9960cf,Warren Zaire-Emery,MF,fr Paris S-G,3.86,0.57
7f14ec2a,Arsen Zakharyan,"FW,MF",es Real Sociedad,4.11,0.0
6bb2c084,Andre-Frank Zambo Anguissa,MF,it Napoli,2.18,0.34
3b12b11f,Alessandro Zanoli,DF,it Napoli,22.5,0.0
a5296e55,Piotr Zieliński,MF,it Napoli,3.48,0.19
51cf8561,Oleksandr Zinchenko,DF,eng Arsenal,0.83,0.0
5c7845f6,Igor Zubeldia,DF,es Real Sociedad,0.65,0.0
3ee0dd59,Martín Zubimendi,MF,es Real Sociedad,1.52,0.0
79300479,Martin Ødegaard,MF,eng Arsenal,2.6,0.4
